,Temp,Irr,cluster
1788,11.0,420,0
1789,11.2,303,0
1790,11.3,284,0
1791,11.1,202,0
1792,10.3,51,3
1793,9.5,12,3
1794,8.7,2,1
1795,8.8,0,1
1796,8.9,0,1
1797,9.0,0,1
1855,8.1,13,1
1856,8.3,21,1
1857,8.6,35,1
1858,8.8,47,1
1859,9.0,54,1
1860,9.1,57,1
1861,10.5,369,0
1862,11.7,412,0
1863,11.8,307,0
1864,12.6,218,0
1865,12.6,119,3
1866,12.1,10,3
1867,11.5,0,3
1868,10.8,0,3
1869,10.2,0,3
1879,5.4,46,1
1880,6.3,123,1
1881,7.0,189,5
1882,7.8,250,5
1883,8.4,297,5
1884,8.9,311,5
1885,9.2,283,5
1886,9.3,257,5
1887,9.3,202,5
1888,9.0,133,1
1889,8.4,70,1
1890,7.9,2,1
1891,6.5,0,1
1892,6.4,0,1
1893,6.0,0,1
1903,4.1,73,1
1904,5.5,182,5
1905,7.2,312,5
1906,8.6,395,5
1907,9.9,455,4
1908,10.9,494,4
1909,11.7,472,4
1910,12.0,416,0
1911,12.0,308,0
1912,11.5,198,0
1913,10.5,86,3
1914,9.5,3,3
1915,9.0,0,1
1916,8.6,0,1
1917,8.1,0,1
1927,7.5,125,1
1928,8.9,230,5
1929,11.5,512,4
1930,13.8,674,4
1931,14.7,514,4
1932,14.6,323,0
1933,14.7,364,0
1934,14.0,193,0
1935,13.1,129,3
1936,12.3,114,3
1937,11.7,116,3
1938,10.8,8,3
1939,10.4,0,3
1940,9.9,0,3
1941,9.4,0,3
1951,6.9,48,1
1952,7.7,120,1
1953,8.6,196,5
1954,9.5,247,5
1955,10.2,289,0
1956,10.7,288,0
1957,11.1,284,0
1958,11.2,246,0
1959,11.1,170,0
1960,10.8,125,3
1961,10.3,59,3
1962,9.7,3,3
1963,9.0,0,1
1964,7.6,0,1
1965,7.4,0,1
2023,3.5,97,1
2024,5.1,224,5
2025,6.9,364,5
2026,8.8,503,4
2027,10.5,598,4
2028,11.9,660,4
2029,13.0,664,4
2030,13.7,640,4
2031,14.0,512,4
2032,13.6,368,0
2033,12.6,189,0
2034,11.1,19,3
2035,10.4,0,3
2036,9.7,0,3
2037,8.9,0,1
2047,7.7,130,1
2048,10.1,318,0
2049,12.3,439,4
2050,14.5,604,4
2058,14.7,7,3
2059,13.6,0,3
2060,12.5,0,3
2061,11.5,0,3
2071,6.4,137,1
2072,8.7,312,5
2073,11.0,478,4
2074,13.1,618,4
2075,14.9,708,4
2082,14.5,23,3
2083,13.4,0,3
2084,12.3,0,3
2085,11.1,0,3
2095,6.7,112,1
2096,8.2,237,5
2097,10.0,385,0
2098,11.8,532,4
2099,12.5,435,4
2100,13.1,461,4
2101,13.9,542,4
2102,14.0,407,0
2103,13.6,258,0
2104,12.9,186,0
2105,12.0,69,3
2106,10.9,4,3
2107,10.1,0,3
2108,9.2,0,1
2109,8.4,0,1
2119,5.9,147,1
2120,8.3,321,5
2121,10.7,486,4
2122,12.9,616,4
2123,14.8,702,4
2130,14.3,21,3
2131,13.3,0,3
2132,12.2,0,3
2133,11.2,0,3
2191,4.9,176,5
2192,7.0,362,5
2193,9.1,535,4
2194,11.0,669,4
2195,12.6,760,4
2196,13.9,794,4
2197,14.8,770,4
2198,15.2,688,4
2199,15.2,559,4
2200,14.7,395,0
2201,13.6,211,0
2202,12.1,24,3
2203,10.9,0,3
2204,9.7,0,3
2205,8.5,0,1
2215,2.5,156,2
2216,4.0,312,5
2217,5.3,433,5
2218,6.5,548,4
2219,7.6,637,4
2220,8.5,668,4
2221,9.1,675,4
2222,9.4,618,4
2223,9.4,526,4
2224,9.0,390,5
2225,8.2,232,5
2226,7.0,32,1
2227,6.3,0,1
2228,5.7,0,1
2229,5.1,0,1
2239,6.5,175,5
2240,8.7,343,5
2241,10.9,502,4
2242,12.9,629,4
2243,14.5,708,4
2244,15.9,749,4
2249,15.8,212,0
2250,14.4,60,3
2251,13.0,0,3
2252,12.7,0,3
2253,12.5,0,3
2263,11.5,17,3
2264,12.1,78,3
2265,13.7,264,0
2266,14.4,216,0
2267,15.8,417,0
2276,15.7,0,3
2277,14.8,0,3
2287,10.3,179,0
2288,12.2,359,0
2289,14.1,521,4
2290,15.9,653,4
2299,15.4,0,3
2300,14.5,0,3
2301,13.5,0,3
2359,10.8,97,3
2360,11.9,209,0
2361,13.5,396,0
2362,15.4,610,4
2369,15.6,20,3
2370,14.7,6,3
2371,13.9,0,3
2372,13.5,0,3
2373,13.2,0,3
2383,12.5,18,3
2384,13.4,107,3
2385,13.5,50,3
2386,14.9,296,0
2407,14.9,221,0
2421,14.9,0,3
2431,10.4,234,0
2432,12.1,404,0
2433,13.9,565,4
2434,15.5,675,4
2442,15.1,33,3
2443,14.0,0,3
2444,12.9,0,3
2445,11.8,0,3
2455,9.8,242,0
2456,11.8,424,4
2457,14.0,620,4
2465,15.9,140,3
2466,14.8,43,3
2467,13.6,0,3
2468,12.8,0,3
2469,11.9,0,3
2527,6.3,220,5
2528,8.2,395,5
2529,9.8,510,4
2530,11.5,636,4
2531,12.9,710,4
2532,14.1,749,4
2533,14.9,729,4
2534,15.4,673,4
2535,15.5,550,4
2536,15.2,403,0
2537,14.3,242,0
2538,13.1,82,3
2539,11.7,0,3
2540,10.9,0,3
2541,10.0,0,3
2551,8.6,111,1
2552,9.9,217,0
2553,11.0,270,0
2554,12.1,358,0
2555,13.0,374,0
2556,14.0,451,4
2557,15.0,547,4
2558,15.9,565,4
2563,15.0,3,3
2564,13.5,0,3
2565,11.9,0,3
2575,5.2,230,5
2576,6.8,394,5
2577,8.6,561,4
2578,10.1,666,4
2579,11.4,739,4
2580,12.4,755,4
2581,13.1,726,4
2582,13.5,671,4
2583,13.6,573,4
2584,13.2,416,0
2585,12.4,254,0
2586,11.1,95,3
2587,9.8,1,3
2588,8.3,0,1
2589,6.9,0,1
2599,3.3,211,5
2600,5.0,365,5
2601,6.7,502,4
2602,8.3,606,4
2603,9.6,669,4
2604,10.7,694,4
2605,11.5,677,4
2606,11.9,611,4
2607,12.0,509,4
2608,11.6,383,0
2609,10.8,232,0
2610,9.7,90,3
2611,8.4,1,1
2612,7.8,0,1
2613,7.2,0,1
2623,6.4,98,1
2624,7.0,126,1
2625,7.5,127,1
2626,7.9,184,5
2627,8.7,214,5
2628,9.0,221,5
2629,9.1,198,5
2630,9.2,144,3
2631,9.2,163,5
2632,9.4,199,5
2633,9.4,144,3
2634,9.0,56,1
2635,7.9,2,1
2636,7.5,0,1
2637,7.3,0,1
2695,7.9,108,1
2696,8.8,178,5
2697,10.1,298,0
2698,11.3,386,0
2699,12.6,469,4
2700,13.4,437,4
2701,13.8,380,0
2702,14.1,367,0
2703,14.4,387,0
2704,14.4,291,0
2705,14.2,224,0
2706,13.6,125,3
2707,12.8,8,3
2708,11.7,0,3
2709,10.7,0,3
2719,6.4,130,1
2720,7.2,205,5
2721,8.0,288,5
2722,8.7,331,5
2723,9.3,382,5
2724,9.7,350,0
2725,10.0,367,0
2726,10.2,349,0
2727,10.2,285,0
2728,10.0,224,0
2729,9.6,136,3
2730,9.0,56,1
2731,8.3,1,1
2732,7.9,0,1
2733,7.1,0,1
2743,9.0,108,1
2744,10.0,173,0
2745,10.8,235,0
2746,11.8,282,0
2747,12.6,319,0
2748,13.3,323,0
2749,13.7,308,0
2750,14.0,270,0
2751,14.0,231,0
2752,13.9,193,0
2753,13.5,112,3
2754,12.0,43,3
2755,12.0,1,3
2756,11.6,0,3
2757,10.7,0,3
2767,6.8,133,1
2768,7.9,257,5
2769,9.6,472,4
2770,11.3,599,4
2771,12.7,673,4
2772,13.8,690,4
2773,14.7,717,4
2774,15.1,582,4
2775,15.2,506,4
2776,14.8,332,0
2777,13.9,157,3
2778,12.7,44,3
2779,11.6,1,3
2780,11.0,0,3
2781,10.3,0,3
2791,9.8,107,3
2792,10.6,171,0
2793,11.3,219,0
2794,12.0,280,0
2795,12.9,310,0
2796,13.5,337,0
2797,13.9,309,0
2798,14.1,293,0
2799,14.3,258,0
2800,14.2,198,0
2801,13.9,123,3
2802,13.3,48,3
2803,12.7,1,3
2804,11.6,0,3
2805,10.5,0,3
2863,1.6,189,2
2864,2.8,320,5
2865,4.2,468,5
2866,5.3,523,4
2867,6.4,638,4
2868,7.1,626,4
2869,7.8,645,4
2870,8.1,616,4
2871,8.5,649,4
2872,8.5,510,4
2873,7.9,328,5
2874,6.9,146,1
2875,5.7,10,1
2876,6.0,0,1
2877,6.3,0,1
2887,10.3,92,3
2888,12.5,148,3
2889,13.4,176,0
2890,14.0,193,0
2891,14.6,191,0
2892,14.8,176,0
2893,15.1,161,0
2894,15.2,137,3
2895,15.1,96,3
2896,15.0,104,3
2897,14.9,82,3
2898,14.5,33,3
2899,14.1,2,3
2900,13.7,0,3
2901,13.3,0,3
2911,11.3,336,0
2912,13.2,528,4
2913,15.0,696,4
2924,15.1,0,3
2925,14.2,0,3
2935,13.3,192,0
2936,14.4,282,0
2937,15.6,388,0
2948,15.5,0,3
2949,14.6,0,3
2959,13.0,126,3
2960,13.8,202,0
2961,14.5,264,0
2962,15.1,294,0
2963,15.6,326,0
2970,15.3,62,3
2971,15.0,2,3
2972,14.2,0,3
2973,13.4,0,3
3031,14.0,386,0
3032,15.1,448,4
3033,15.9,536,4
3038,15.7,67,3
3039,15.0,56,3
3040,14.5,51,3
3041,14.0,69,3
3042,13.5,28,3
3043,13.0,2,3
3044,12.3,0,3
3045,11.5,0,3
3055,9.9,289,0
3056,11.8,495,4
3057,13.7,662,4
3058,15.1,709,4
3065,15.5,267,0
3066,14.6,147,3
3067,13.5,22,3
3068,12.5,0,3
3069,11.5,0,3
3079,9.4,174,5
3080,10.5,280,0
3081,11.5,368,0
3082,12.3,436,4
3083,13.4,524,4
3084,14.0,494,4
3085,14.5,508,4
3086,14.7,408,0
3087,14.8,378,0
3088,14.6,287,0
3089,14.2,198,0
3090,13.5,84,3
3091,12.6,3,3
3092,11.6,0,3
3093,10.6,0,3
3103,7.9,209,5
3104,9.0,312,5
3105,10.1,420,4
3106,11.3,552,4
3107,12.3,599,4
3108,13.0,595,4
