Hours,Temp,Irr,Type
1169,2.4,19,B
1170,2.0,0,B
1171,1.7,0,B
1172,1.3,0,B
1173,1.0,0,B
1174,0.6,0,B
1175,0.3,0,B
1176,0.5,0,B
1177,0.7,0,B
1178,0.9,0,B
1179,1.1,0,B
1180,1.3,0,B
1181,1.4,0,B
1182,1.6,0,B
1183,1.5,1,A
1184,1.3,10,A
1185,2.2,23,A
1186,2.6,35,A
1187,2.9,44,A
1188,2.9,48,A
1189,5.2,342,A
1190,6.6,312,A
1191,7.3,243,A
1192,7.5,136,A
1193,6.9,17,A
1194,6.7,0,A
1195,6.6,0,A
1196,6.5,0,A
1197,6.4,0,A
1198,6.2,0,B
1199,6.1,0,B
1200,5.7,0,B
1201,5.3,0,B
1202,4.8,0,B
1203,4.6,0,B
1204,4.3,0,B
1205,3.8,0,B
1206,3.9,0,B
1207,4.0,1,A
1208,5.2,76,A
1209,6.0,120,A
1210,6.3,107,A
1211,6.1,46,A
1212,6.9,226,A
1213,7.5,249,A
1214,8.4,323,A
1215,8.9,275,A
1216,8.6,124,A
1217,8.0,28,A
1218,7.7,0,A
1219,7.5,0,A
1220,7.3,0,A
1221,7.1,0,A
1222,6.9,0,B
1223,6.7,0,B
1224,6.6,0,B
1225,6.4,0,B
1226,6.6,0,B
1227,6.5,0,B
1228,6.5,0,B
1229,6.6,0,B
1230,6.6,0,B
1231,6.7,1,A
1232,7.6,48,A
1233,8.7,115,A
1234,9.9,174,A
1235,10.9,215,A
1236,11.7,236,A
1237,12.2,226,A
1238,12.4,181,A
1239,12.4,139,A
1240,12.0,78,A
1241,11.3,26,A
1242,10.7,0,A
1243,9.7,0,A
1244,9.7,0,A
1245,9.4,0,A
1246,9.0,0,B
1247,8.5,0,B
1248,8.0,0,B
1249,7.5,0,B
1250,6.9,0,B
1251,6.7,0,B
1252,6.4,0,B
1253,6.3,0,B
1254,6.1,0,B
1255,6.2,4,A
1256,7.7,91,A
1257,8.7,141,A
1258,10.5,291,A
1259,11.4,261,A
1260,12.7,403,A
1261,13.8,433,A
1262,14.8,451,A
1263,15.2,366,A
1264,14.8,194,A
1265,13.8,69,A
1266,12.7,0,A
1267,11.8,0,A
1268,10.8,0,A
1269,9.9,0,A
1270,9.0,0,B
1271,8.0,0,B
1272,7.0,0,B
1273,5.9,0,B
1274,4.7,0,B
1275,4.1,0,B
1276,3.5,0,B
1277,3.1,0,B
1278,2.6,0,B
1279,2.6,1,A
1280,3.2,54,A
1281,4.3,146,A
1282,5.8,271,A
1283,6.8,315,A
1284,7.8,377,A
1285,8.5,384,A
1286,9.1,401,A
1287,9.2,298,A
1288,8.7,175,A
1289,7.9,73,A
1290,6.8,0,A
1291,6.2,0,A
1292,5.6,0,A
1293,5.0,0,A
1294,4.4,0,B
1295,3.8,0,B
1296,3.6,0,B
1297,3.4,0,B
1298,3.3,0,B
1299,3.3,0,B
1300,3.2,0,B
1301,3.2,0,B
1302,3.2,0,B
1303,3.2,1,B
1304,3.8,25,B
1305,5.8,215,B
1306,7.6,329,B
1307,10.1,572,B
1308,10.7,351,B
1309,9.4,45,B
1310,8.8,99,B
